2024-04-16 at 14:51:10 | INFO | (93.9%) (step=0001200) Train Loss: 0.00207460, Train Steps/Sec: 2.35
2024-04-16 at 14:51:14 | INFO | (95.5%) (step=0001210) Train Loss: 0.00181895, Train Steps/Sec: 2.37
2024-04-16 at 14:51:18 | INFO | (97.1%) (step=0001220) Train Loss: 0.00189529, Train Steps/Sec: 2.32
2024-04-16 at 14:51:22 | INFO | (98.7%) (step=0001230) Train Loss: 0.00165149, Train Steps/Sec: 2.32
2024-04-16 at 14:51:26 | INFO | Beginning epoch 2...
2024-04-16 at 14:51:29 | INFO | (0.3%) (step=0001240) Train Loss: 0.00221179, Train Steps/Sec: 1.54
2024-04-16 at 14:51:33 | INFO | (1.9%) (step=0001250) Train Loss: 0.00177452, Train Steps/Sec: 2.36
2024-04-16 at 14:51:37 | INFO | (3.6%) (step=0001260) Train Loss: 0.00168030, Train Steps/Sec: 2.34
2024-04-16 at 14:51:42 | INFO | (5.2%) (step=0001270) Train Loss: 0.00163530, Train Steps/Sec: 2.32
2024-04-16 at 14:51:46 | INFO | (6.8%) (step=0001280) Train Loss: 0.00147663, Train Steps/Sec: 2.34
2024-04-16 at 14:51:50 | INFO | (8.4%) (step=0001290) Train Loss: 0.00198298, Train Steps/Sec: 2.32
2024-04-16 at 14:51:55 | INFO | (10.0%) (step=0001300) Train Loss: 0.00152722, Train Steps/Sec: 2.32
2024-04-16 at 14:51:59 | INFO | (11.6%) (step=0001310) Train Loss: 0.00158889, Train Steps/Sec: 2.35
2024-04-16 at 14:52:03 | INFO | (13.2%) (step=0001320) Train Loss: 0.00143719, Train Steps/Sec: 2.35
2024-04-16 at 14:52:07 | INFO | (14.9%) (step=0001330) Train Loss: 0.00184268, Train Steps/Sec: 2.34
2024-04-16 at 14:52:12 | INFO | (16.5%) (step=0001340) Train Loss: 0.00165217, Train Steps/Sec: 2.36
2024-04-16 at 14:52:16 | INFO | (18.1%) (step=0001350) Train Loss: 0.00138605, Train Steps/Sec: 2.37
2024-04-16 at 14:52:20 | INFO | (19.7%) (step=0001360) Train Loss: 0.00381030, Train Steps/Sec: 2.33
2024-04-16 at 14:52:24 | INFO | (21.3%) (step=0001370) Train Loss: 0.00144635, Train Steps/Sec: 2.35
2024-04-16 at 14:52:29 | INFO | (22.9%) (step=0001380) Train Loss: 0.00164344, Train Steps/Sec: 2.34
2024-04-16 at 14:52:33 | INFO | (24.6%) (step=0001390) Train Loss: 0.00319833, Train Steps/Sec: 2.33
2024-04-16 at 14:52:37 | INFO | (26.2%) (step=0001400) Train Loss: 0.00126126, Train Steps/Sec: 2.32
2024-04-16 at 14:52:42 | INFO | (27.8%) (step=0001410) Train Loss: 0.00146899, Train Steps/Sec: 2.35
2024-04-16 at 14:52:46 | INFO | (29.4%) (step=0001420) Train Loss: 0.00164676, Train Steps/Sec: 2.36
2024-04-16 at 14:52:50 | INFO | (31.0%) (step=0001430) Train Loss: 0.00129593, Train Steps/Sec: 2.33
2024-04-16 at 14:52:54 | INFO | (32.6%) (step=0001440) Train Loss: 0.00145053, Train Steps/Sec: 2.33
2024-04-16 at 14:52:59 | INFO | (34.2%) (step=0001450) Train Loss: 0.00323671, Train Steps/Sec: 2.36
2024-04-16 at 14:53:03 | INFO | (35.9%) (step=0001460) Train Loss: 0.00134765, Train Steps/Sec: 2.36
2024-04-16 at 14:53:07 | INFO | (37.5%) (step=0001470) Train Loss: 0.00133214, Train Steps/Sec: 2.35
2024-04-16 at 14:53:11 | INFO | (39.1%) (step=0001480) Train Loss: 0.00142504, Train Steps/Sec: 2.32
2024-04-16 at 14:53:16 | INFO | (40.7%) (step=0001490) Train Loss: 0.00131469, Train Steps/Sec: 2.37
2024-04-16 at 14:53:20 | INFO | (42.3%) (step=0001500) Train Loss: 0.00132282, Train Steps/Sec: 2.37
2024-04-16 at 14:53:24 | INFO | (43.9%) (step=0001510) Train Loss: 0.00128449, Train Steps/Sec: 2.34
2024-04-16 at 14:53:28 | INFO | (45.6%) (step=0001520) Train Loss: 0.00142680, Train Steps/Sec: 2.33
2024-04-16 at 14:53:33 | INFO | (47.2%) (step=0001530) Train Loss: 0.00128910, Train Steps/Sec: 2.35
2024-04-16 at 14:53:37 | INFO | (48.8%) (step=0001540) Train Loss: 0.00124045, Train Steps/Sec: 2.34
2024-04-16 at 14:53:41 | INFO | (50.4%) (step=0001550) Train Loss: 0.00127661, Train Steps/Sec: 2.32
2024-04-16 at 14:53:46 | INFO | (52.0%) (step=0001560) Train Loss: 0.00158691, Train Steps/Sec: 2.34
2024-04-16 at 14:53:50 | INFO | (53.6%) (step=0001570) Train Loss: 0.00128575, Train Steps/Sec: 2.34
2024-04-16 at 14:53:54 | INFO | (55.3%) (step=0001580) Train Loss: 0.00127866, Train Steps/Sec: 2.31
2024-04-16 at 14:53:58 | INFO | (56.9%) (step=0001590) Train Loss: 0.00168320, Train Steps/Sec: 2.34
2024-04-16 at 14:54:03 | INFO | (58.5%) (step=0001600) Train Loss: 0.00139406, Train Steps/Sec: 2.34
